iter	Passed	Remaining
0	0	720
1	1	666
2	1	627
3	2	618
4	3	603
5	3	592
6	4	594
7	4	590
8	5	583
9	5	576
10	6	575
11	6	571
12	7	565
13	7	560
14	8	560
15	9	558
16	9	557
17	10	554
18	10	551
19	11	548
20	11	548
21	12	552
22	13	552
23	13	561
24	14	557
25	14	555
26	15	554
27	15	550
28	16	548
29	16	546
30	17	543
31	17	542
32	18	541
33	18	539
34	19	538
35	20	536
36	20	535
37	21	535
38	21	534
39	22	532
40	22	531
41	23	531
42	23	530
43	24	529
44	24	529
45	25	527
46	25	526
47	26	525
48	27	524
49	27	523
50	28	524
51	28	525
52	29	524
53	29	524
54	30	523
55	31	523
56	31	522
57	32	521
58	32	520
59	33	519
60	33	518
61	34	517
62	34	518
63	35	520
64	36	522
65	37	525
66	37	526
67	38	527
68	39	529
69	39	531
70	40	532
71	41	532
72	42	534
73	42	535
74	43	537
75	44	541
76	45	541
77	45	542
78	46	543
79	47	543
80	48	544
81	48	545
82	49	542
83	49	542
84	50	543
85	51	544
86	51	545
87	52	545
88	53	546
89	54	547
90	54	547
91	55	549
92	56	549
93	57	550
94	57	550
95	58	550
96	59	553
97	60	553
98	60	553
99	61	554
100	62	554
101	62	554
102	63	554
103	64	554
104	64	553
105	65	554
106	66	554
107	67	554
108	67	554
109	68	554
110	69	554
111	69	553
112	70	553
113	71	553
114	71	553
115	72	553
116	73	552
117	73	551
118	74	550
119	74	548
120	75	547
121	75	544
122	76	543
123	76	541
124	77	539
125	77	538
126	77	535
127	78	533
128	78	532
129	79	530
130	79	530
131	80	529
132	81	529
133	81	528
134	82	527
135	82	525
136	83	524
137	83	523
138	84	522
139	84	521
140	85	520
141	85	517
142	86	516
143	86	515
144	87	513
145	87	512
146	88	512
147	88	511
148	89	510
149	89	509
150	90	508
151	90	506
152	91	506
153	91	504
154	92	503
155	92	502
156	93	501
157	93	500
158	94	499
159	95	498
160	95	496
161	95	495
162	96	494
163	96	493
164	97	491
165	97	490
166	98	489
167	98	488
168	99	487
169	99	486
170	100	485
171	100	483
172	101	482
173	101	481
174	101	480
175	102	479
176	102	478
177	103	477
178	104	477
179	104	477
180	105	476
181	105	475
182	106	475
183	106	474
184	107	473
185	107	472
186	108	470
187	108	469
188	109	468
189	109	467
190	110	467
191	110	466
192	111	465
193	111	464
194	112	463
195	112	462
196	113	461
197	113	461
198	114	460
199	114	459
200	115	458
201	116	458
202	116	458
203	117	457
204	117	456
205	118	455
206	118	455
207	119	455
208	120	454
209	120	454
210	121	455
211	122	454
212	122	453
213	123	453
214	123	452
215	124	451
216	124	450
217	125	449
218	125	448
219	126	447
220	126	446
221	127	445
222	127	445
223	128	444
224	128	443
225	129	443
226	130	442
227	130	442
228	131	441
229	131	440
230	132	439
231	132	439
232	133	438
233	133	437
234	134	437
235	135	437
236	135	437
237	136	437
238	137	437
239	137	436
240	138	436
241	139	435
242	139	434
243	140	434
244	140	433
245	141	433
246	141	432
247	142	431
248	142	430
249	143	429
250	143	429
251	144	428
252	145	429
253	145	428
254	146	427
255	146	426
256	147	425
257	147	425
258	148	424
259	148	423
260	149	423
261	150	424
262	151	424
263	152	423
264	152	423
265	153	422
266	153	422
267	154	421
268	154	420
269	155	419
270	155	418
271	156	417
272	156	416
273	156	415
274	157	414
275	157	414
276	158	413
277	158	412
278	159	411
279	159	411
280	160	410
281	160	409
282	161	408
283	161	407
284	162	406
285	162	405
286	163	405
287	163	404
288	164	403
289	164	402
290	165	402
291	165	402
292	166	401
293	167	401
294	167	400
295	168	399
296	168	399
297	169	398
298	169	397
299	170	396
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	392
306	173	391
307	173	390
308	174	390
309	174	389
310	175	388
311	175	387
312	176	387
313	176	386
314	177	385
315	177	384
316	178	383
317	178	383
318	179	382
319	180	382
320	180	382
321	181	381
322	181	380
323	182	380
324	182	379
325	183	379
326	184	379
327	184	378
328	185	377
329	185	376
330	186	376
331	186	375
332	187	374
333	187	373
334	187	373
335	188	372
336	188	371
337	189	370
338	189	370
339	190	369
340	190	368
341	191	368
342	191	367
343	192	366
344	192	366
345	193	365
346	193	364
347	194	364
348	194	363
349	195	363
350	196	363
351	197	362
352	197	362
353	198	361
354	198	360
